Obs ID,M1S,M1U,M2S,M2U,PNS,PNU,Comments
0008030201,Bad,-,Good,-,Good,,
0008030301,Good,,Bad,,Good,,"Half of the data is flared, but algorithm seems to be working."
0008030601,Good,,Good,,Good,,
0010420201,Good,,Good,,Good,,
0012440101,Good,,Good,,Good,,
0018741001,Good,,Good,,Good,,
0030140101,Good,,Good,,Good,,
0030140201,Good,,Good,,Good,,Mostly flared data
0030140301,Good,,Good,,Good,,half of the data is flared
0057740301,Good,,Good,,Good,,
0057740401,Good,,Good,,Good,,
0065140101,Good,,Good,,Good,,
0065140201,Good,,Good,,Good,,
0083150401,Good,,Good,,Good,,half of the data looks flared
0083150601,Good,,Good,,Bad,,Relative less observing time and flared data
0083150801,Bad,,Bad,,Bad,,"Algorithm not working properly, flared data"
0083151001,Good,,Good,,Bad,,"only first 2000 seconds good, rest is flared data"
0086950201,Good,,Good,,Good,,
0090050601,Good,,Good,,Good,,
0093200101,Good,,Good,,Good,,
0093640701,Bad,,Good,,Bad,,Algorithm not working properly for M1 and PN
0094800201,Good,,Good,,Good,,Flared
0095010901,Good,,Good,,Improper hist,,Flared data
0095011101,Good,,Good,,Good,,
0095011301,Bad,,Bad,,Bad,,Flared data
0097820101,Good,,Good,,Good,,
0103060401,Good,,Good,,Good,,Corner light curve missing in PN
0103660101,Good,,Good,,Good,,
0103860601,Good,,Good,,Good,,
0105260701,Good,,Good,,Good,,
0105260801,Good,,Good,,Good,,
0105260901,Good,,Good,,Good,,
0105261001,Good,Good,Good,Good,Good,Good,PNS is flared
0105261101,Good,,Good,,Good,,
0105262001,Good,,Good,,Good,,
0105262101,Good,,Good,,Good,,
0105262201,,Good,,Good,Good,,
0105262501,Good,,Good,,Good,,
0105660101,Good,,Good,,Good,,
0107260101,Good,,Good,,Good,,
0108460101,Good,,Good,,Good,,
0108460201,,Good,,Good,,Good,"PNU002 (with less observing time), PNU003 are good"
0108460301,Good,,Good,,,Good,PNU's half of the data seems flared
0109070201,Good,,Good,-,Good,,Flared data for M2U and less observing time
0109920101,Good,,Good,,Good,,
0109920301,Good,,Good,,,,
0109930101,Good,,Good,,Good,,
0109950101,Good,,Good,,Good,,
0109950201,Good,,Good,,Good,,
0109980301,Good,,Good,,Good,,
0111020101,Good,,Good,,,,
0111020201,Good,,Good,,,,
0111270201,Have a relook?,,Good,,Bad,,"M1 should be similar to M2, PN should have been plotted"
0111870101,-,,-,,-,,Flared data
0111870301,Good,,Good,,Good,,More than half flared
0111870401,Bad,,Good,,Good,,"M1 should be similar to M2, mostly flared data"
0112240101,,Good,,Good,,Good,"PNU002 (with less observing time), PNU003 are good"
0112240201,Good,,Good,,Good,,PN is mostly flared
0112240301,Good,,Good,,Good,,
0112240401,Bad,,Bad,,Good,,"Mostly flared data, M1/M2 should have some gaussian"
0112260101,Good,,Good,,Good,,
0112260201,Good,,Good,,Good,,
0112260301,Good,,Good,,Good,,
0112260401,Good,,Good,,Good,,
0112260501,Good,,Good,,Bad,,"Mostly flared data, PN should have some gaussian?"
0112260801,Good,,Bad,,Bad,,"M2 should be similar to M1, PN should have gaussian?"
0112310201,Good,,Good,,Good,,
0112500101,Good,,Good,,Good,,
0112500201,Good,,Good,,Bad,,"M1/M2 kinda flared, PN is all flared"
0112850201,Good,,Good,,Good,,
0112950301,Good,,Good,,Good,,
0112950401,Good,,Bad,,Good,,M2 should be similar to M1
0112950501,Good,,Good,,Bad,,Mostly flared data
0112950601,Good,,Good,,Good,,
0112950701,Bad,,Bad,,Bad,,Flared data
0112950801,Good,Bad,Good,Good,Bad,,M1U and PN should have some sort of fit
0112950901,Bad,,Bad,,Good,,Mostly flared data with very less observing time for M1/M2
0112951001,Good,Bad,Good,Bad,,,M1U and M2U are flared
0112951501,Good,,Good,,Good,,
0112951601,Good,,Good,,Good,,
0123900101,Good,,Good,,Good,,
0135120201,Good,,Good,,Good,,
0136740101,,Good,,Good,Good,,
0136740201,Good,,Good,,Good,,Mostly flared data though
0136950201,Good,,Good,,Good,,
0141380101,Good,?,Good,?,Bad,,PN should have gaussian? M1U/M2U have less data
0141380201,Bad,Good,Good,Good,Good,,Gaussian didn't fit well for M1
0142240101,Good,,Good,,Good,,
0142240201,Good,,Bad,,Good,,
0144310101,Good,,Good,,Good,,
0145540101,Good,,Good,,,Good,
0147040101,Good,,Bad,,,,M1 flared
0147330101,,Good,,Good,Good,,"M1U003, M1U004, M2U003, M2U004 good"
0147800101,Good,,Good,,Good,,
0149670101,Good,,Good,,Good,,
0149670301,Good,,Good,,Good,,
0149880101,Good,,Good,,Good,,About half of the data seems flared
0200120401,Good,,Good,,Bad,,"For M1,M2 about half of the data is flared, PN should have better fit?"
0200270101,Good,,Good,,Good,,
0201670201,Good,,Good,,,Good,
0201780101,Good,,Good,,Good,,Latter half of the data is mostly flared
0201900201,Good,Bad,Good,,Bad?,,More than latter half of the data is mostly flared for M1S/M2S
0201900401,Good,,Good,,Good,,
0201900501,Good,,Good,,Bad,,Flared data for PN?
0201901601,Good,,Good,,,,
0201902001,Good,,Good,,Good,,
0201902601,Good,,Good,,Good,,
0201902701,Good,,Good,,Good,,
0201903801,Good,,Good,,Good,,
0202080201,Good,,Good,,Good,,
0202360101,Good,,Good,,,,
0203020101,Good,,Good,,,Good,
0203390901,Good,,Good,,,Good,
0204180101,Good,,Good,,Good,,
0204410201,Bad,Bad,Bad,Bad,Bad,,Flared data
0204460101,Good,,Good,,Good,,
0204610101,Good,Bad,Good,Bad,Good,,"Flared data for M1U and M2U, bad fit for M2U"
0205190101,Good,,Good,,Good,,
0205190201,Good,,Good,,Good,,
0300210201,Good,,Good,,,Good,
0300210301,Good,,Good,,Good,,More than half of the data is flared
0300210401,Good,,Good,,Good,,
0300211301,Good,,Good,,Good,,
0300211401,Good,,Good,,Good,,
0300320101,Good,,Bad,,Bad,,Bad fits for M2 and PN
0300350301,Good,,Good,,Bad,,"About 75% of the data seems flared for M1, M2; PN mostly flared"
0300350401,Bad,,Bad,,Bad,,Flared data
0300920101,Good,,Good,,Good,,More than half of the data is flared
0303930101,Good,,Good,,Good,,More than half of the data is flared
0303930201,,?,,Bad,Bad,,Mostly flared data
0400130101,Good,,Good,,Good,,
0400130201,Good,,Good,,Good,,
0401520301,Bad,,Bad,,Bad,,Flared data
0401520501,,Bad,,Good,,,"M1 should be similar to M2, PNU looks flared"
0401520601,Good,,Bad,,,,"Mostly flared data, M2 should be similar to M1, PNU is bad"
0401520801,Good,,Good,,Good,,PN is mostly flared though
0401520901,Good,,Good,,Good,,PN is mostly flared though
0401521101,Good,,Good,,Good,,PN is mostly flared though
0401521201,,Good,,Good,,Good,
0401521301,Good,,Good,,Good,,Mostly flared data though
0401521601,,Good,,Good,,,PN is mostly flared though
0401521701,Good,,Good,,Bad,,PN is flared
0401610101,Good,,Good,,Bad,,PN is flared
0401920101,Good,,Good,,Good,,
0402190101,Good,,Good,,Good,,PN is mostly flared though
0402190501,?,,?,,,,
0404240101,Good,,Good,,Good,,
0404520101,,Good,,Good,,Good,
0404520301,,Good,,Good,,Good,Mostly flared data though
