name,xmm_pointed,chandra,rosat_pointed_pspc,rosat_pointed_hri,rosat_all_sky,swift_xrt,asca,suzaku,nustar_pointed,erosita_all_sky_de_dr1
LoVoCCS-1,24,59,4,5,1,23,6,11,3,0
LoVoCCS-10,1,1,1,0,2,78,1,0,1,2
LoVoCCS-108,0,0,0,0,1,0,0,0,0,1
LoVoCCS-11,14,10,5,4,1,25,1,1,1,2
LoVoCCS-119,3,3,0,0,1,0,0,0,0,2
LoVoCCS-12,2,1,1,1,1,4,3,1,1,2
LoVoCCS-121,3,1,2,1,3,4,1,0,0,3
LoVoCCS-122,0,0,0,0,2,0,0,0,0,1
LoVoCCS-123,9,7,3,0,2,16,4,2,0,1
LoVoCCS-13,4,8,2,2,1,4,1,9,1,2
LoVoCCS-131,17,10,5,7,1,26,2,3,1,2
LoVoCCS-134,5,1,0,1,2,1,0,0,0,2
LoVoCCS-14,8,24,5,4,1,51,3,4,0,0
LoVoCCS-15,4,18,1,2,1,4,1,4,0,0
LoVoCCS-18,1,12,1,2,2,1,1,0,1,3
LoVoCCS-2,8,24,5,4,1,51,3,4,0,0
LoVoCCS-21,7,6,4,1,3,9,4,3,1,2
LoVoCCS-22,1,1,0,1,2,3,0,0,0,0
LoVoCCS-24,1,1,4,0,3,11,2,0,0,3
LoVoCCS-26,2,1,0,0,2,0,0,0,0,0
LoVoCCS-27,6,3,2,1,3,1,1,0,1,3
LoVoCCS-28,5,1,1,0,1,0,0,0,0,1
LoVoCCS-29,2,0,3,1,2,0,1,1,0,2
LoVoCCS-30,14,12,5,3,1,5,1,6,0,2
LoVoCCS-31,2,2,0,0,2,0,0,0,0,0
LoVoCCS-33,1,5,0,0,3,51,0,1,1,3
LoVoCCS-35,1,1,0,0,1,0,0,0,0,1
LoVoCCS-39,22,12,8,6,1,19,6,6,2,0
LoVoCCS-4,8,13,3,1,2,7,2,2,0,0
LoVoCCS-41,1,3,1,1,2,16,1,5,0,2
LoVoCCS-42,4,2,0,0,2,19,1,0,0,4
LoVoCCS-45,3,0,0,0,1,0,0,0,0,2
LoVoCCS-46,1,2,1,0,2,0,1,0,0,0
LoVoCCS-48,5,2,0,2,2,12,0,0,1,2
LoVoCCS-49,1,1,0,0,3,4,0,0,0,2
LoVoCCS-5,18,13,2,1,2,9,3,5,1,1
LoVoCCS-51,1,1,1,0,4,11,0,0,0,2
LoVoCCS-55,0,2,0,0,1,0,0,0,0,1
LoVoCCS-58,2,0,0,0,2,0,0,0,0,0
LoVoCCS-60,4,7,1,0,2,6,0,2,0,0
LoVoCCS-61,1,2,0,0,2,2,0,0,0,0
LoVoCCS-63,3,2,0,0,1,21,0,0,1,2
LoVoCCS-65,3,5,2,2,2,0,1,0,0,3
LoVoCCS-66,1,12,0,2,2,0,0,0,0,0
LoVoCCS-67,4,3,1,3,4,0,1,0,0,4
LoVoCCS-7,5,1,0,1,2,1,1,0,0,4
LoVoCCS-74,1,0,1,0,3,0,0,0,0,2
LoVoCCS-75,1,1,1,0,1,4,0,0,0,0
LoVoCCS-76,4,3,0,2,2,0,1,0,0,0
LoVoCCS-80,2,1,1,0,2,9,0,0,0,3
LoVoCCS-85,2,0,3,1,3,0,1,1,0,2
LoVoCCS-89,4,3,0,2,3,0,1,0,0,0
LoVoCCS-9,22,2,2,2,1,5,1,0,3,2
LoVoCCS-90,24,59,4,5,1,24,6,11,3,0
LoVoCCS-93,3,3,2,1,1,2,2,4,1,1
LoVoCCS-94,3,0,1,0,2,2,0,0,0,1
LoVoCCS-98,1,1,1,3,1,5,1,0,0,0
LoVoCCS-99,9,7,3,0,3,16,4,2,0,1
