name,exp
LoVoCCS-1,371.331 ks
LoVoCCS-2,32.201 ks
LoVoCCS-4,570.005 ks
LoVoCCS-5,218.902 ks
LoVoCCS-7,73.502 ks
LoVoCCS-9,824.974 ks
LoVoCCS-10,23.358 ks
LoVoCCS-11,235.353 ks
LoVoCCS-12,52.705 ks
LoVoCCS-13,497.533 ks
LoVoCCS-14,27.623 ks
LoVoCCS-15,329.829 ks
LoVoCCS-18,96.778 ks
LoVoCCS-21,113.248 ks
LoVoCCS-22,28.7 ks
LoVoCCS-24,79.504 ks
LoVoCCS-26,31.347 ks
LoVoCCS-27,53.36 ks
LoVoCCS-28,62.91 ks
LoVoCCS-29,63.311 ks
LoVoCCS-30,1078.071 ks
LoVoCCS-31,36.437 ks
LoVoCCS-33,0.0 ks
LoVoCCS-35,69.004 ks
LoVoCCS-39,18.937 ks
LoVoCCS-41A,79.82 ks
LoVoCCS-41B,49.959 ks
LoVoCCS-41C,0.0 ks
LoVoCCS-42,47.226 ks
LoVoCCS-45,101.407 ks
LoVoCCS-46A,70.268 ks
LoVoCCS-46B,42.605 ks
LoVoCCS-46C,75.455 ks
LoVoCCS-48A,14.415 ks
LoVoCCS-48B,21.956 ks
LoVoCCS-49,56.235 ks
LoVoCCS-51,23.809 ks
LoVoCCS-58,25.609 ks
LoVoCCS-60A,236.933 ks
LoVoCCS-60B,275.903 ks
LoVoCCS-61,206.508 ks
LoVoCCS-63,92.353 ks
LoVoCCS-65,59.748 ks
LoVoCCS-66A,21.803 ks
LoVoCCS-66B,43.905 ks
LoVoCCS-67,516.03 ks
LoVoCCS-74,30.854 ks
LoVoCCS-75,29.079 ks
LoVoCCS-76,23.659 ks
LoVoCCS-80,28.15 ks
LoVoCCS-85,47.315 ks
LoVoCCS-89,11.926 ks
LoVoCCS-90,6.126 ks
LoVoCCS-93A,70.488 ks
LoVoCCS-93B,63.384 ks
LoVoCCS-94,38.305 ks
LoVoCCS-98,38.375 ks
LoVoCCS-99,18.201 ks
LoVoCCS-119,437.608 ks
LoVoCCS-121,169.744 ks
LoVoCCS-123,36.363 ks
LoVoCCS-131,17.757 ks
LoVoCCS-134,38.91 ks
