name,MCXC,LoVoCCSID,ra,dec,redshift,L500,M500,R500,alt_name,other_names,Notes,sub_samp,LoVoCCS_name,Name,RA,DEC,Redshift,Newly processed,Fully observed,Comments,XMM_R500_FRAC,CHANDRA_R500_FRAC,y500,log_y500
MCXCJ1510.9+0543,J1510.9+0543,1,227.7291667,5.72,0.0766,8.726709,7.2708,1.3344,A2029,A2029,,south,LoVoCCS-1,A2029,227.73,5.72,0.0766,1.0,yes,"with A2033, southern infalling group",1.0,1.0,9.121233724762237e-05,-4.039946415660724
MCXCJ0258.9+1334,J0258.9+1334,2,44.73958333,13.57944444,0.0739,6.088643,5.8488,1.2421,RXCJ0258.9+1334,A401,L,south,LoVoCCS-2,A401,44.74,13.58,0.0739,1.0,yes,Bridge of galaxies between A401/A399 -- similar to gas ,0.9988616035127664,1.0,8.779497761806477e-05,-4.056530327546605
MCXCJ0041.8-0918,J0041.8-0918,4,10.45875,-9.301944444,0.0555,5.100085,5.3163,1.2103,RXCJ0041.8-0918,A85,"L,losStr",south,LoVoCCS-4,A85,10.46,-9.3,0.0555,1.0,yes,,0.9926389028940203,1.0,5.401240585911684e-05,-4.267506477633303
MCXCJ2201.9-5956,J2201.9-5956,6,330.4833333,-59.94944444,0.098,4.204419,4.589,1.1367,RXCJ2201.9-5956,A3827,,south,LoVoCCS-6,A3827,330.48,-59.95,0.098,1.0,yes,"Currently using A3825 catalogs. Note the 2 clusters are at very different redshifts, but RS colors could be similar (g-r diff ~0.05mag).",1.0,0.6760426770126091,5.306470879190809e-05,-4.275194214745587
MCXCJ0431.4-6126,J0431.4-6126,8,67.85041667,-61.44388889,0.0589,3.977333,4.5579,1.1485,RXCJ0431.4-6126,A3266,,south,LoVoCCS-8,A3266,67.85,-61.44,0.0589,1.0,yes,,1.0,0.6905745399924896,7.921702105939915e-05,-4.101181493183808
MCXCJ1259.3-0411,J1259.3-0411,9,194.8395833,-4.194722222,0.0845,3.853573,4.3928,1.1252,RXCJ1259.3-0411,A1651,,south,LoVoCCS-9,A1651,194.84,-4.19,0.0845,1.0,yes,,1.0,0.9810270680495826,4.000216127174483e-05,-4.397916543596145
MCXCJ0909.1-0939,J0909.1-0939,10,137.285,-9.666111111,0.0542,3.84966,4.4824,1.1439,RXCJ0909.1-0939,A754,,south,LoVoCCS-10,A754,137.28,-9.67,0.0542,1.0,yes,"2 peaks in RS galaxy density map, lensing peak is mainly at BCG",1.0,1.0,7.116417784970303e-05,-4.1477385636261745
MCXCJ1347.4-3250,J1347.4-3250,11,206.8683333,-32.84972222,0.0391,3.81992,4.5067,1.1514,RXCJ1347.4-3250,A3571,L,south,LoVoCCS-11,A3571,206.87,-32.85,0.0391,1.0,yes,eRosita,0.5104304350324694,0.3996896730072984,4.8191290840939135e-05,-4.317031440629925
MCXCJ0317.9-4414,J0317.9-4414,12,49.49375,-44.23888889,0.0752,3.815928,4.3948,1.1288,RXCJ0317.9-4414,A3112,,south,LoVoCCS-12,A3112,49.49,-44.24,0.0752,1.0,yes,"Horologium Supercluster with A3128, A3158, A3266. Xray mass is very close to the lensing mass (SZ mass is a bit smaller but within 2-sigma). But it seems there’s an offset between the lensing peak and BCG/X-ray peak. XMM: https://iopscience.iop.org/article/10.1088/0004-637X/747/1/32 (to determine the offset). The depth looks okay (only g band is 0.2 mag shallower than the goal). Very strong correlation between BCG orientation, mass map, RS galaxy distribution! Need to test photoz after adjusting the Y band offset (<0.02mag).",1.0,0.9989806320081548,2.0994103777525536e-05,-4.677902660334588
MCXCJ0257.8+1302,J0257.8+1302,13,44.4575,13.04916667,0.0722,3.592916,4.2452,1.1169,RXCJ0257.8+1302,A399,,south,LoVoCCS-13,A399,44.46,13.05,0.0722,1.0,yes,,0.9942229924898902,0.8528788754092047,6.089185182665868e-05,-4.21544081809739
MCXCJ2325.3-1207,J2325.3-1207,14,351.3333333,-12.12722222,0.0852,3.557935,4.1821,1.1066,RXCJ2325.3-1207,A2597,,south,LoVoCCS-14,A2597,351.33,-12.13,0.0852,1.0,yes,,1.0,1.0,1.2818390258430235e-05,-4.892166510369154
MCXCJ1258.6-0145,J1258.6-0145,17,194.67125,-1.756944444,0.0845,3.470646,4.1213,1.1015,RXCJ1258.6-0145,A1650,,south,LoVoCCS-17,A1650,194.67,-1.76,0.0845,,yes,,1.0,1.0,3.749424873178054e-05,-4.426035343888473
MCXCJ0052.7-8015,J0052.7-8015,18,13.18708333,-80.26638889,0.1141,3.393306,3.9812,1.0783,RXCJ0052.7-8015,A2837,,south,LoVoCCS-18,A2837,13.19,-80.27,0.1141,1.0,yes,,0.0,1.0,9.630215583893096e-06,-5.016363990565271
MCXCJ1327.9-3130,J1327.9-3130,20,201.9895833,-31.5025,0.048,3.138519,3.9741,1.101,RXCJ1327.9-3130,A3558,"P,GR6,losStr",south,LoVoCCS-20,A3558,201.99,-31.5,0.048,1.0,yes,Shapley supercluster,0.8599163957268927,0.8111472364143056,5.1691712087532586e-05,-4.2865790832733195
MCXCJ2034.7-3548,J2034.7-3548,21,308.6995833,-35.81333333,0.0894,2.963013,3.7297,1.0637,RXCJ2034.7-3548,A3695,"L,losStr",south,LoVoCCS-21,A3695,308.7,-35.81,0.0894,1.0,yes,,1.0,0.995598868280415,3.183637344506473e-05,-4.497076409605814
MCXCJ2249.9-6425,J2249.9-6425,23,342.4875,-64.42944444,0.094,2.828545,3.6139,1.051,RXCJ2249.9-6425,A3921,losStr,south,LoVoCCS-23,A3921,342.49,-64.43,0.094,1.0,yes,"Offset between peaks of mass map, BCG/Xray. Merging cluster.",1.0,0.8993358965396715,2.631110545291847e-05,-4.579860904783287
MCXCJ2214.5-1022,J2214.5-1022,25,333.6358333,-10.37166667,0.098,2.770068,3.5581,1.0442,RXCJ2214.5-1022,A2426,,south,LoVoCCS-25,A2426,333.64,-10.37,0.098,,yes,,1.0,1.0,2.0043282512593e-05,-4.69803115204804
MCXCJ0342.8-5338,J0342.8-5338,26,55.72458333,-53.63527778,0.059,2.76492,3.6513,1.0667,RXCJ0342.8-5338,A3158,"L,losStr",south,LoVoCCS-26,A3158,55.72,-53.64,0.059,1.0,yes,Horologium supercluster,1.0,0.9357236554438128,3.537202021896537e-05,-4.451340135410196
MCXCJ0042.1-2832,J0042.1-2832,28,10.53625,-28.53583333,0.1082,2.734146,3.5046,1.0355,RXCJ0042.1-2832,A2811,losStr,south,LoVoCCS-28,A2811,10.54,-28.54,0.1082,1.0,yes,,1.0,0.0,2.120989057819214e-05,-4.673461572002529
MCXCJ0918.1-1205,J0918.1-1205,29,139.5270833,-12.09333333,0.0539,2.716018,3.6243,1.0658,RXCJ0918.1-1205,A780,BX,south,LoVoCCS-29,A780,139.53,-12.09,0.0539,1.0,yes,The BCG is Hydra A (also 3C 218). The mass map extend to East (check montage) and seems also in RS/XMM map -- due to nearby groups/background cluster? Infalling group https://ui.adsabs.harvard.edu/abs/2022A%26A...658A.159G/abstract ,1.0,0.9750894068319153,1.980069852353927e-06,-5.703319488548191
MCXCJ2210.3-1210,J2210.3-1210,30,332.5820833,-12.17611111,0.0846,2.672473,3.5139,1.0445,RXCJ2210.3-1210,A2420,,south,LoVoCCS-30,A2420,332.58,-12.18,0.0846,1.0,yes,,1.0,0.9997049277072882,2.6513324739073253e-05,-4.576535808845676
MCXCJ1130.3-1434,J1130.3-1434,32,172.58125,-14.58305556,0.1068,2.605129,3.4062,1.0262,RXCJ1130.3-1434,A1285,,south,LoVoCCS-32,A1285,172.58,-14.58,0.1068,1.0,yes,,0.3863114377583831,1.0,2.6064720647093462e-05,-4.58394692533416
MCXCJ2246.3-5243,J2246.3-5243,34,341.5775,-52.72944444,0.0965,2.565193,3.3988,1.0289,RXCJ2246.3-5243,A3911,L,south,LoVoCCS-34,A3911,341.58,-52.73,0.0965,1.0,yes,,1.0,0.993058233706132,2.942062334235102e-05,-4.531348130001571
MCXCJ2331.2-3630,J2331.2-3630,36,352.8029167,-36.50666667,0.0957,2.419356,3.2815,1.0172,RXCJ2331.2-3630,A4010,,south,LoVoCCS-36,A4010,352.8,-36.51,0.0957,1.0,yes,Mass map peak offset (reason?). XMM centered at BCG. https://arxiv.org/pdf/2204.02699.pdf https://arxiv.org/abs/1309.3565,1.0,0.0,1.3868270730232368e-05,-4.857977688828566
MCXCJ1518.7+0613,J1518.7+0613,38,229.69,6.231111111,0.1021,2.241343,3.118,0.9979,RXCJ1518.7+0613,A2055,C,south,LoVoCCS-38,A2055,229.69,6.23,0.1021,1.0,yes,,1.0,0.0,3.407636977865117e-06,-5.467546677669282
MCXCJ1330.8-0152,J1330.8-0152,40,202.7079167,-1.872777778,0.0852,2.127767,3.0567,0.9968,RXCJ1330.8-0152,A1750,"DL,large elongation towards NE,losStr",south,LoVoCCS-40,A1750,202.71,-1.87,0.0852,1.0,yes,There're 2 centers -- RS and mass peaks are different -- merging.,0.999673309376021,1.0,1.8738115072297295e-05,-4.727274098340033
MCXCJ2154.1-5751,J2154.1-5751,41,328.5383333,-57.85527778,0.076,2.097956,3.0499,0.9991,RXCJ2154.1-5751,A3822,losStr,south,LoVoCCS-41,A3822,328.54,-57.86,0.076,,yes,,1.0,0.9824887237994164,3.2813777571762816e-05,-4.483943770097493
MCXCJ1132.8+1428,J1132.8+1428,42,173.2208333,14.46888889,0.0834,2.074613,3.0137,0.9927,RXCJ1132.8+1428,A1307,,south,LoVoCCS-42,A1307,173.22,14.47,0.0834,1.0,yes,,1.0,0.996506827564306,2.6537553442269833e-05,-4.576139118227376
MCXCJ2149.1-3041,J2149.1-3041,43,327.2808333,-30.69861111,0.1184,2.053481,2.9219,0.9713,RXCJ2149.1-3041,A3814,,south,LoVoCCS-43,A3814,327.28,-30.7,0.1184,,yes,,1.0,0.0,4.8113431396257785e-06,-5.317733668594885
MCXCJ0145.0-5300,J0145.0-5300,44,26.25958333,-53.01388889,0.1168,2.010759,2.888,0.968,RXCJ0145.0-5300,A2941,,south,LoVoCCS-44,A2941,26.26,-53.01,0.1168,,yes,,1.0,0.0,1.947033020761107e-05,-4.710626682988067
MCXCJ2223.8-0138,J2223.8-0138,45,335.9704167,-1.637777778,0.0906,1.9031,2.8449,0.9716,RXCJ2223.8-0138,A2440,,south,LoVoCCS-45,A2440,335.97,-1.64,0.0906,1.0,yes,,1.0,0.9934438873891246,1.8209523855065234e-05,-4.7397014100437005
MCXCJ1257.1-1724,J1257.1-1724,47,194.2904167,-17.40027778,0.0473,1.897483,2.9254,0.9944,RXCJ1257.1-1724,A1644,L,south,LoVoCCS-47,A1644,194.29,-17.4,0.0473,,yes,,0.9967809967809969,0.8041958041958042,3.0428531034104904e-05,-4.516719013109505
MCXCJ1141.4-1216,J1141.4-1216,48,175.35125,-12.27222222,0.1195,1.893646,2.7789,0.9548,RXCJ1141.4-1216,A1348,"X,losStr",south,LoVoCCS-48,A1348,175.35,-12.27,0.1195,1.0,yes,,0.9948353776630084,0.0,1.0358347600776621e-05,-4.984709519214415
MCXCJ2218.0-6511,J2218.0-6511,50,334.5229167,-65.185,0.0951,1.858113,2.7949,0.9644,RXCJ2218.0-6511,RBS1847,,south,LoVoCCS-50,RBS1847,334.52,-65.19,0.0951,1.0,yes,,1.0,0.9936467598475224,1.648042470379547e-05,-4.783031600640227
MCXCJ0433.6-1315,J0433.6-1315,51,68.41,-13.25916667,0.0326,1.85299,2.9118,0.9974,RXCJ0433.6-1315,A496,,south,LoVoCCS-51,A496,68.41,-13.26,0.0326,,yes,,0.6627295876903072,0.5383323400335915,1.2676719007320068e-05,-4.896993136154515
MCXCJ0006.0-3443,J0006.0-3443,56,1.5125,-34.72416667,0.1147,1.809494,2.7122,0.9486,RXCJ0006.0-3443,A2721,,south,LoVoCCS-56,A2721,1.51,-34.72,0.1147,,yes,,1.0,0.0,2.294568762515086e-05,-4.639298923049559
MCXCJ2134.2-1328,J2134.2-1328,57,323.56875,-13.48,0.0897,1.793951,2.746,0.9604,RXCJ2134.2-1328,A2351,B,south,LoVoCCS-57,A2351,323.57,-13.48,0.0897,1.0,yes,,1.0,0.0,5.259894323058367e-06,-5.279022981202469
MCXCJ2226.0+1722,J2226.0+1722,60,336.5108333,17.37805556,0.1072,1.706366,2.6308,0.9414,A2443,A2443,,north,LoVoCCS-60,A2443,336.51,17.38,0.1072,1.0,yes,Multiple BCGs; the mass peak locates at one BCG.,0.9994422755158952,0.9994422755158952,1.9118506886561247e-05,-4.718546028181673
MCXCJ1516.3+0005,J1516.3+0005,62,229.08,0.097777778,0.1181,1.689631,2.5949,0.9337,RXCJ1516.3+0005,A2050,,south,LoVoCCS-62,A2050,229.08,0.1,0.1181,1.0,yes,,1.0,1.0,6.832149921083634e-06,-5.165442612286123
MCXCJ2143.9-5637,J2143.9-5637,63,325.9929167,-56.62638889,0.0824,1.678567,2.6504,0.9514,RXCJ2143.9-5637,APMCC699,,south,LoVoCCS-63,APMCC699,325.99,-56.63,0.0824,,yes,,1.0,0.1562394318566114,6.414452215687104e-06,-5.192840425783551
MCXCJ1326.9-2710,J1326.9-2710,64,201.725,-27.18333333,0.0458,1.667482,2.7065,0.9694,RXCJ1326.9-2710,A1736,L,south,LoVoCCS-64,A1736,201.73,-27.18,0.0458,,yes,,0.7095890410958904,0.9997808219178084,2.335764974616467e-05,-4.6315708582044035
MCXCJ2152.4-1933,J2152.4-1933,65,328.1,-19.565,0.0943,1.663138,2.6137,0.9433,RXCJ2152.4-1933,A2384,"PB,GR10",south,LoVoCCS-65,A2384,328.1,-19.57,0.0943,1.0,yes,,0.8949671772428884,0.9956236323851204,2.5047713286555427e-05,-4.601231916597606
MCXCJ2357.0-3445,J2357.0-3445,66,359.2595833,-34.76055556,0.0475,1.629622,2.6658,0.964,RXCJ2357.0-3445,A4059,L,south,LoVoCCS-66,A4059,359.26,-34.76,0.0475,1.0,yes,Lensing signal is not strong.,0.8562938309758706,0.9506715796980862,1.4404569725070321e-05,-4.841499709880517
MCXCJ2321.5-4153,J2321.5-4153,68,350.3891667,-41.89888889,0.0894,1.625536,2.5863,0.9415,RXCJ2321.5-4153,A3998,losStr,south,LoVoCCS-68,A3998,350.39,-41.9,0.0894,1.0,yes,"Although deep, no clear lensing signal? Only from ACOS1111? Actually ~2.5 at R~5000pix",0.9996001599360256,0.0,6.5638838558856995e-06,-5.182839112139694
MCXCJ0005.3+1612,J0005.3+1612,69,1.344166667,16.21055556,0.1164,1.579007,2.4929,0.9218,RXCJ0005.3+1612,A2703,B,north,LoVoCCS-69,A2703,1.34,16.21,0.1164,,partially,,0.8327736736064473,0.0,8.285744274514758e-06,-5.081668474595648
MCXCJ2250.3+1054,J2250.3+1054,72,342.5875,10.9025,0.0768,1.558638,2.5431,0.9401,RXCJ2250.3+1054,A2495,,south,LoVoCCS-72,A2495,342.59,10.9,0.0768,,partially, ,0.0,1.0,1.172150750791246e-05,-4.9310165299335225
MCXCJ2209.3-5148,J2209.3-5148,73,332.3470833,-51.815,0.1065,1.5527,2.485,0.9239,RXCJ2209.3-5148,A3836,,south,LoVoCCS-73,A3836,332.35,-51.82,0.1065,,yes,,1.0,0.0,9.160410046812303e-06,-5.03808508560266
