name,Tx1.5arcmin,Tx1.5arcmin-,Tx1.5arcmin+,met1.5arcmin,met1.5arcmin-,met1.5arcmin+,norm1.5arcmin,norm1.5arcmin-,norm1.5arcmin+,lx1.5arcmin,lx1.5arcmin-,lx1.5arcmin+
LoVoCCS-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-5,6.25836,0.0778802829999998,0.0781119490000001,0.240783,0.0183013273999999,0.0186839286999999,0.00563445,4.059640500000007e-05,4.07444110000002e-05,2.04426646e+43,2.4638664808701003e+41,5.1848914513421e+41
LoVoCCS-7,6.32741,0.074736648,0.0750573359999995,0.31021,0.0187861851999999,0.0191942199,0.00727023,6.174415200000012e-05,6.201866400000044e-05,8.322394431000001e+43,6.1612713719835e+41,6.170489806259201e+41
LoVoCCS-9,7.12032,0.0777386940000006,0.0779479219999998,0.258121,0.0167699110999999,0.0170802622,0.00530795,7.996268399999926e-05,8.118156599999996e-05,2.1831915310000002e+43,3.0918108170718e+41,2.8124689688148003e+41
LoVoCCS-10,5.73458,0.0892714040000006,0.0970458279999997,0.409414,0.0278438878,0.0288032457999999,0.0103445,9.032301999999973e-05,8.96578000000002e-05,9.140254714e+43,7.2394330517026e+41,5.5647482845170005e+41
LoVoCCS-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-13,3.9823,0.0078226599999999,0.007834372,0.571324,0.0044415188,0.0044700852999999,0.0159748,3.254840999999953e-05,3.2678639999998704e-05,1.2200376150000001e+44,1.8929131417068e+41,1.9498788937920002e+41
LoVoCCS-14,6.4332,0.1840990109999998,0.2040296459999995,0.209805,0.0398419677999999,0.0420199952,0.00395738,5.623175799999991e-05,5.621253899999994e-05,2.4367654440000004e+43,2.4775305573541e+41,3.580872718441101e+41
LoVoCCS-15,3.29462,0.00629999,0.0063165719999997,0.336724,0.0030607207,0.0030779140999999,0.0171601,5.0427310000000086e-05,5.057888999999982e-05,1.583700486e+44,3.7404755072035e+41,4.951301993104001e+41
LoVoCCS-18,5.2643,0.0557919780000002,0.0559995059999991,0.380534,0.0185491847,0.0189469607,0.0106982,6.683721999999927e-05,6.678665000000097e-05,9.666281661000001e+43,4.0833675293258005e+41,4.4145794069632e+41
LoVoCCS-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-22,3.92453,0.0706795899999996,0.0714745690000002,0.0832303,0.0190171617499999,0.020043189,0.00430866,4.647326199999982e-05,4.654858900000024e-05,4.0007340520000005e+43,2.9989479542293e+41,4.1239385315298e+41
LoVoCCS-24,5.25181,0.0632724810000002,0.063634436,0.313622,0.0189317359,0.0193693216999999,0.00453638,2.959265399999928e-05,2.9581102000000335e-05,4.88554895e+43,2.0798194813801003e+41,3.0108342904900003e+41
LoVoCCS-26,4.53467,0.0624173390000004,0.0668206549999999,0.439048,0.0275214035999999,0.0283281783,0.00662042,6.401976999999975e-05,6.397654199999988e-05,8.084149895000001e+43,4.7820037600532e+41,6.850446010236901e+41
LoVoCCS-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-29,4.77655,0.056623719,0.0569494669999999,0.321034,0.0197292954,0.0202095743,0.00540238,3.92934349999997e-05,3.928325400000005e-05,7.735968327000001e+43,3.8201755617302e+41,5.390233397257601e+41
LoVoCCS-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-31,6.57923,0.1471965859999997,0.1494174930000005,0.372812,0.0374302873999999,0.0387736865,0.0045908,4.95584579999998e-05,4.9336639999999696e-05,3.9681569270000005e+43,3.6826987560222005e+41,3.0298970730326e+41
LoVoCCS-35,5.99864,0.116267531,0.1209478300000004,0.243831,0.0284755070999999,0.0295180969999999,0.0026439,2.5012837999999725e-05,2.497690800000018e-05,2.915611385e+43,1.9580432416561002e+41,2.7570029454817003e+41
LoVoCCS-37,3.18943,0.0275019570000001,0.0275163139999996,0.63301,0.0205959030999999,0.0210434767,0.00508423,8.930322200000063e-05,9.043188599999924e-05,6.554111126e+43,8.857356603396402e+41,8.1319135660039e+41
LoVoCCS-39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-41,4.15354,0.0713658999999999,0.0722053980000003,0.322596,0.0272123377999999,0.0281198675,0.00179748,1.9821764999999924e-05,1.98355050000001e-05,1.6299309910000002e+43,1.1422466435953002e+41,1.6024501110604003e+41
LoVoCCS-42,4.79535,0.0903812210000003,0.1025041020000001,0.292183,0.030566242,0.0317107521999999,0.00379965,7.379397799999994e-05,7.47022100000003e-05,2.7048251490000004e+43,4.270685157376301e+41,4.5630731438019005e+41
LoVoCCS-43,4.99173,0.0679693859999996,0.0685218560000002,0.381481,0.0241984547,0.0248324529999999,0.00403606,3.348702000000037e-05,3.346722199999968e-05,3.509038757e+43,1.8943822084634e+41,2.6839100473745002e+41
LoVoCCS-44,3.24408,0.0327348929999997,0.035029723,0.508832,0.0193839598999999,0.0204514123,0.0043486,3.773602500000035e-05,3.6936964999999614e-05,8.119402588e+43,3.8298560667289005e+41,4.254977333168e+41
LoVoCCS-45,6.52733,0.1316419409999998,0.1331639209999995,0.347506,0.0315398483,0.0324708853,0.00243684,2.8424576999999847e-05,2.8618905000000076e-05,3.9408356590000003e+43,3.8674175622206e+41,3.4306169750679003e+41
LoVoCCS-46,4.21036,0.0703200389999993,0.070597642,0.408072,0.0315202443,0.0325507379,0.0018894,2.2327824000000117e-05,2.231347699999998e-05,1.9764789660000002e+43,1.3812187111285002e+41,2.0061984265982005e+41
LoVoCCS-48,3.31373,0.0809974769999999,0.080708494,0.705872,0.0574984105,0.0612315359999999,0.0038482,8.931280700000006e-05,9.042470199999976e-05,1.252891306e+43,1.8672876870173002e+41,1.5864813719148002e+41
LoVoCCS-49,3.45972,0.049713235,0.0464417150000002,0.550531,0.0285509095999999,0.0296932517,0.00462309,5.68203909999997e-05,5.671377200000029e-05,8.946946885e+43,6.8912796295354e+41,6.7457036702909e+41
LoVoCCS-51,4.00097,0.0713841059999995,0.072013579,0.344055,0.0306022599999999,0.0316967722,0.00331969,4.141122200000029e-05,4.1462334999999885e-05,3.765766892e+43,3.0910169670529e+41,4.219337945848e+41
LoVoCCS-52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-57,5.51448,0.1548596809999995,0.1646540820000002,0.246087,0.0424323165999999,0.0445912844999999,0.0022975,8.056756200000006e-05,8.221715300000014e-05,3.5786060810000003e+43,1.2953327330367701e+42,1.02811772614924e+42
LoVoCCS-58,1.42487,0.0159160769999999,0.0153979789999998,0.2055,0.0135616840999999,0.0142360254999999,0.00613709,0.000138021337,0.0001400291299999,6.352165591e+43,7.8522253000241e+41,6.4900286553611004e+41
LoVoCCS-61,6.60199,0.0726377649999996,0.0728915480000003,0.289522,0.0164222748,0.0167252454999999,0.00361412,1.856560400000009e-05,1.85564519999998e-05,4.886155632000001e+43,1.6696360681862e+41,2.4798541083007003e+41
LoVoCCS-63,5.22279,0.0779265219999993,0.0786798950000005,0.347103,0.0244965477999999,0.0251787163,0.00299355,2.617129000000032e-05,2.619358899999969e-05,5.072842488e+43,3.566652311807301e+41,2.6662231165238e+41
LoVoCCS-64,3.19437,0.0354256420000003,0.0357216129999997,0.370854,0.0193034029,0.0198021997999999,0.00584634,5.458571399999997e-05,5.48435009999999e-05,5.127279908e+43,2.7751247056645002e+41,2.8623698994425e+41
LoVoCCS-65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-66,3.40273,0.1114044650000001,0.1219865399999999,0.311038,0.0504152320999999,0.0542934858,0.00318182,8.37941610000001e-05,8.43120539999998e-05,3.576463001e+43,6.231041524932301e+41,6.720554149019401e+41
LoVoCCS-67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
