name,MCXC,LoVoCCSID,ra,dec,redshift,L500,M500,R500,alt_name,other_names,Notes
MCXCJ1558.3+2713,J1558.3+2713,0,239.5858333,27.22694444,0.0894,10.676087,8.1491,1.3803,RXCJ1558.3+2713,A2142,L
MCXCJ1510.9+0543,J1510.9+0543,1,227.7291667,5.72,0.0766,8.726709,7.2708,1.3344,A2029,A2029,
MCXCJ0258.9+1334,J0258.9+1334,2,44.73958333,13.57944444,0.0739,6.088643,5.8488,1.2421,RXCJ0258.9+1334,A401,L
MCXCJ1348.8+2635,J1348.8+2635,3,207.2208333,26.59555556,0.0622,5.478067,5.528,1.2236,RXCJ1348.8+2635,A1795,
MCXCJ0041.8-0918,J0041.8-0918,4,10.45875,-9.301944444,0.0555,5.100085,5.3163,1.2103,RXCJ0041.8-0918,A85,"L,losStr"
MCXCJ1524.1+2955,J1524.1+2955,5,231.0408333,29.92111111,0.1145,4.263016,4.5741,1.1292,A2069,A2069,
MCXCJ2201.9-5956,J2201.9-5956,6,330.4833333,-59.94944444,0.098,4.204419,4.589,1.1367,RXCJ2201.9-5956,A3827,
MCXCJ1702.7+3403,J1702.7+3403,7,255.67875,34.06194444,0.0953,4.045226,4.4908,1.1295,RXCJ1702.7+3403,A2244,
MCXCJ0431.4-6126,J0431.4-6126,8,67.85041667,-61.44388889,0.0589,3.977333,4.5579,1.1485,RXCJ0431.4-6126,A3266,
MCXCJ1259.3-0411,J1259.3-0411,9,194.8395833,-4.194722222,0.0845,3.853573,4.3928,1.1252,RXCJ1259.3-0411,A1651,
MCXCJ0909.1-0939,J0909.1-0939,10,137.285,-9.666111111,0.0542,3.84966,4.4824,1.1439,RXCJ0909.1-0939,A754,
MCXCJ1347.4-3250,J1347.4-3250,11,206.8683333,-32.84972222,0.0391,3.81992,4.5067,1.1514,RXCJ1347.4-3250,A3571,L
MCXCJ0317.9-4414,J0317.9-4414,12,49.49375,-44.23888889,0.0752,3.815928,4.3948,1.1288,RXCJ0317.9-4414,A3112,
MCXCJ0257.8+1302,J0257.8+1302,13,44.4575,13.04916667,0.0722,3.592916,4.2452,1.1169,RXCJ0257.8+1302,A399,
MCXCJ2325.3-1207,J2325.3-1207,14,351.3333333,-12.12722222,0.0852,3.557935,4.1821,1.1066,RXCJ2325.3-1207,A2597,
MCXCJ1703.8+7838,J1703.8+7838,15,255.9533333,78.64444444,0.0581,3.543467,4.2502,1.1224,RXCJ1703.8+7838,A2256,L
MCXCJ1510.1+3330,J1510.1+3330,16,227.54875,33.51472222,0.113,3.513114,4.0695,1.0866,RXCJ1510.1+3330,A2034,BC
MCXCJ1258.6-0145,J1258.6-0145,17,194.67125,-1.756944444,0.0845,3.470646,4.1213,1.1015,RXCJ1258.6-0145,A1650,
MCXCJ0052.7-8015,J0052.7-8015,18,13.18708333,-80.26638889,0.1141,3.393306,3.9812,1.0783,RXCJ0052.7-8015,A2837,
MCXCJ1558.3-1410,J1558.3-1410,19,239.5966667,-14.16777778,0.097,3.179797,3.8731,1.0745,RXCJ1558.3-1410,,B
MCXCJ1327.9-3130,J1327.9-3130,20,201.9895833,-31.5025,0.048,3.138519,3.9741,1.101,RXCJ1327.9-3130,A3558,"P,GR6,losStr"
