NAME,ALT_NAME,OTHER_NAMES,MCXC_RA,MCXC_DEC,MCXC_REDSHIFT,CATALOG_NAME,SUB_CATALOG_NAME,LINEAR_SCALE_FACTOR,LX_500,MASS_500,RADIUS_500,NOTES,OVERLAP_CAT_1,OVERLAP_CAT_2,OVERLAP_CAT_3,OVERLAP_CAT_4,LX_RATIO_CAT_1,LX_RATIO_CAT_2,LX_RATIO_CAT_3,LX_RATIO_CAT_4,LoVoCCSID
MCXC J1558.3+2713,"RXC J1558.3+2713  ","A2142                                                 ",239.5858,27.2269,0.0894,NORAS/REFLEX,"NORAS       ",1.669,1.0676087E45,8.149100000000001E14,1.3803,"L                                         ","BCS         ",,,,1.045,,,,0
MCXC J1510.9+0543,"A2029             ","A2029                                                 ",227.7292,5.72,0.0766,"BCS         ","BCS         ",1.451,8.726709E44,7.2708E14,1.3344,,,,,,,,,,1
MCXC J0258.9+1334,"RXC J0258.9+1334  ","A0401                                                 ",44.7396,13.5794,0.0739,NORAS/REFLEX,"NORAS       ",1.405,6.088643000000001E44,5.8488E14,1.2421,"L                                         ","BCS         ",,,,0.88,,,,2
MCXC J1348.8+2635,"RXC J1348.8+2635  ","A1795                                                 ",207.2208,26.5956,0.0622,NORAS/REFLEX,"NORAS       ",1.199,5.478067000000001E44,5.5280000000000006E14,1.2236,,"BCS         ",,,,1.197,,,,3
MCXC J0041.8-0918,"RXC J0041.8-0918  ","A0085                                                 ",10.4588,-9.3019,0.0555,NORAS/REFLEX,"REFLEX      ",1.078,5.1000850000000005E44,5.3163E14,1.2103,"L,losStr                                  ","SGP         ",,,,0.945,,,,4
MCXC J2012.5-5649,"RXC J2012.5-5649  ","A3667                                                 ",303.1271,-56.8319,0.0556,NORAS/REFLEX,"REFLEX      ",1.08,4.871933E44,5.1696E14,1.199,"L,losStr                                  ",,,,,,,,,5
MCXC J1524.1+2955,"A2069             ","A2069                                                 ",231.0408,29.9211,0.1145,"BCS         ","BCS         ",2.077,4.263016000000001E44,4.5740999999999994E14,1.1292,,"EMSS_1994   ",,,,0.269,,,,6
MCXC J2201.9-5956,"RXC J2201.9-5956  ","A3827                                                 ",330.4833,-59.9494,0.098,NORAS/REFLEX,"REFLEX      ",1.812,4.204419E44,4.5890000000000006E14,1.1367,,,,,,,,,,7
MCXC J1702.7+3403,"RXC J1702.7+3403  ","A2244                                                 ",255.6788,34.0619,0.0953,NORAS/REFLEX,"NORAS       ",1.767,4.0452260000000005E44,4.4908E14,1.1295,,"BCS         ",,,,1.186,,,,8
MCXC J0431.4-6126,"RXC J0431.4-6126  ","A3266                                                 ",67.8504,-61.4439,0.0589,NORAS/REFLEX,"REFLEX      ",1.139,3.977333E44,4.5579E14,1.1485,,,,,,,,,,9
MCXC J1259.3-0411,"RXC J1259.3-0411  ","A1651                                                 ",194.8396,-4.1947,0.0845,NORAS/REFLEX,"REFLEX      ",1.587,3.853573000000001E44,4.3928E14,1.1252,,,,,,,,,,10
MCXC J0909.1-0939,"RXC J0909.1-0939  ","A0754                                                 ",137.285,-9.6661,0.0542,NORAS/REFLEX,"REFLEX      ",1.054,3.8496600000000004E44,4.4824E14,1.1439,,,,,,,,,,11
MCXC J1347.4-3250,"RXC J1347.4-3250  ","A3571                                                 ",206.8683,-32.8497,0.0391,NORAS/REFLEX,"REFLEX      ",0.774,3.81992E44,4.5067000000000006E14,1.1514,"L                                         ",,,,,,,,,12
MCXC J0317.9-4414,"RXC J0317.9-4414  ","A3112                                                 ",49.4937,-44.2389,0.0752,NORAS/REFLEX,"REFLEX      ",1.427,3.815928000000001E44,4.3948E14,1.1288,,"SGP         ",,,,0.933,,,,13
MCXC J0257.8+1302,"RXC J0257.8+1302  ","A0399                                                 ",44.4575,13.0492,0.0722,NORAS/REFLEX,"NORAS       ",1.375,3.592916E44,4.2451999999999994E14,1.1169,,"BCS         ",,,,0.887,,,,14
MCXC J2325.3-1207,"RXC J2325.3-1207  ","A2597                                                 ",351.3333,-12.1272,0.0852,NORAS/REFLEX,"REFLEX      ",1.598,3.5579350000000004E44,4.1821E14,1.1066,,"SGP         ",,,,0.907,,,,15
MCXC J1703.8+7838,"RXC J1703.8+7838  ","A2256                                                 ",255.9533,78.6444,0.0581,NORAS/REFLEX,"NORAS       ",1.125,3.5434670000000005E44,4.2501999999999994E14,1.1224,"L                                         ","BCS         ",,,,1.048,,,,16
MCXC J1510.1+3330,"RXC J1510.1+3330  ","A2034                                                 ",227.5488,33.5147,0.113,NORAS/REFLEX,"NORAS       ",2.053,3.513114E44,4.0694999999999994E14,1.0866,"BC                                        ","BCS         ",,,,1.044,,,,17
MCXC J1258.6-0145,"RXC J1258.6-0145  ","A1650                                                 ",194.6712,-1.7569,0.0845,NORAS/REFLEX,"REFLEX      ",1.587,3.470646E44,4.1213E14,1.1015,,,,,,,,,,18
MCXC J0052.7-8015,"RXC J0052.7-8015  ","A2837                                                 ",13.1871,-80.2664,0.1141,NORAS/REFLEX,"REFLEX      ",2.071,3.3933060000000003E44,3.9812E14,1.0783,,,,,,,,,,19
